Date,Store_ID,Product_ID,Product_Name,Category,Quantity_Sold,Unit_Price
2025-09-18,1,102,Samsung Galaxy S23,Electronics,5,699.99
2025-09-15,1,107,Sony Headphones,Electronics,8,129.99
2025-09-30,1,109,Adidas T-Shirt,Apparel,7,29.99
2025-09-23,1,108,Blender,Home Appliances,9,59.99
2025-09-07,1,108,Blender,Home Appliances,5,59.99
2025-09-20,1,106,Coffee Maker,Home Appliances,6,39.99
2025-09-01,1,108,Blender,Home Appliances,7,59.99
2025-09-25,1,109,Adidas T-Shirt,Apparel,9,29.99
2025-09-23,1,108,Blender,Home Appliances,2,59.99
2025-09-29,1,110,Logitech Mouse,Electronics,10,49.99
2025-09-18,1,102,Samsung Galaxy S23,Electronics,5,699.99
2025-10-01,1,103,Levi's Jeans,Apparel,5,49.99
2025-09-09,1,108,Blender,Home Appliances,7,59.99
2025-09-26,1,109,Adidas T-Shirt,Apparel,7,29.99
2025-09-23,1,101,Apple iPhone 14,Electronics,8,799.99
2025-09-02,1,105,Instant Pot,Home Appliances,8,99.99
2025-09-23,1,109,Adidas T-Shirt,Apparel,5,29.99
2025-09-13,1,102,Samsung Galaxy S23,Electronics,1,699.99
2025-09-10,1,109,Adidas T-Shirt,Apparel,8,29.99
2025-09-05,1,106,Coffee Maker,Home Appliances,2,39.99
2025-09-20,1,107,Sony Headphones,Electronics,5,129.99
2025-09-29,1,103,Levi's Jeans,Apparel,9,49.99
2025-09-10,1,106,Coffee Maker,Home Appliances,9,39.99
2025-09-01,1,104,Nike Sneakers,Footwear,4,89.99
2025-09-09,1,104,Nike Sneakers,Footwear,4,89.99
2025-09-29,1,109,Adidas T-Shirt,Apparel,9,29.99
2025-09-03,1,102,Samsung Galaxy S23,Electronics,8,699.99
2025-09-30,1,110,Logitech Mouse,Electronics,5,49.99
2025-09-05,1,102,Samsung Galaxy S23,Electronics,5,699.99
2025-09-13,1,102,Samsung Galaxy S23,Electronics,3,699.99
2025-09-30,1,105,Instant Pot,Home Appliances,2,99.99
2025-09-10,1,108,Blender,Home Appliances,3,59.99
2025-09-30,1,110,Logitech Mouse,Electronics,5,49.99
2025-09-08,1,103,Levi's Jeans,Apparel,6,49.99
2025-09-27,1,108,Blender,Home Appliances,4,59.99
2025-09-20,1,107,Sony Headphones,Electronics,7,129.99
2025-09-05,1,108,Blender,Home Appliances,2,59.99
2025-09-06,1,110,Logitech Mouse,Electronics,10,49.99
2025-09-22,1,110,Logitech Mouse,Electronics,10,49.99
2025-09-14,1,103,Levi's Jeans,Apparel,4,49.99
2025-09-27,1,104,Nike Sneakers,Footwear,1,89.99
2025-09-02,1,103,Levi's Jeans,Apparel,4,49.99
2025-09-16,1,105,Instant Pot,Home Appliances,3,99.99
2025-09-19,1,105,Instant Pot,Home Appliances,4,99.99
2025-10-01,1,106,Coffee Maker,Home Appliances,1,39.99
2025-09-27,1,105,Instant Pot,Home Appliances,6,99.99
2025-09-02,1,106,Coffee Maker,Home Appliances,2,39.99
2025-09-29,1,108,Blender,Home Appliances,7,59.99
2025-09-25,1,106,Coffee Maker,Home Appliances,1,39.99
2025-09-02,1,101,Apple iPhone 14,Electronics,7,799.99
